cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
85,others,หวานหอม,หวานหอม,3,1,1
86,others,รสชาติถึงเครื่องเข้มข้น,รสชาติถึงเครื่องเข้มข้น,1,1,1
86,others,รสชาติถึงเครื่องเข้มข้น,รสชาติเข้มข้นถึงเครื่อง,1,1,0
87,others,รสชาติเบา ๆ,รสชาติเบา ๆ,2,1,1
87,others,รสชาติเบา ๆ,รสชาติเบาๆ,1,1,0
88,others,แซ่บจี๊ด,แซบจี๊ด,1,1,0
88,others,แซ่บจี๊ด,แซ่บจี๊ด,1,1,1
89,others,The best,The Best,1,1,0
89,others,The best,The best,2,1,1
89,others,The best,The Best!!!,1,1,0
89,others,The best,the best,2,1,0
90,others,อาหารได้ไว,ได้อาหารไว,1,1,0
90,others,อาหารได้ไว,อาหารได้ไว,1,1,1
91,others,รสชาติอร่อยดี,รสชาติอร่อยดี,6,1,1
91,others,รสชาติอร่อยดี,รสชาติดีอร่อย,5,1,0
92,others,แซ่บอร่อย,แซบอร่อย,1,1,0
92,others,แซ่บอร่อย,แซ่บอร่อย,1,1,1
93,others,รสเปรี้ยวเผ็ด,รสเผ็ดเปรี้ยว,1,1,0
93,others,รสเปรี้ยวเผ็ด,รสเปรี้ยวเผ็ด,1,1,1
94,others,ดี!!,ดี!!,1,1,1
94,others,ดี!!,ดี!,1,1,0
95,others,น้ำซุปหอม,น้ำซุปหอม,4,1,1
95,others,น้ำซุปหอม,น้ำซุป หอม,1,1,0
96,others,ข้าวมันหอม,ข้าวมันหอม,1,1,1
96,others,ข้าวมันหอม,ข้าวหอมมัน,1,1,0
97,others,หั่นหนา,หั่นหนา,3,1,1
97,others,หั่นหนา,หันหนา,1,1,0
98,others,ดีเว่อร์,ดีเว่อร์,1,1,1
98,others,ดีเว่อร์,ดีเวอร์,1,1,0
99,others,รออาหารนานมาก,รออาหารนานมาก,2,1,1
99,others,รออาหารนานมาก,อาหารรอนานมาก,1,1,0
100,others,มีกลิ่นแปลก ๆ,มีกลิ่นแปลกๆ,1,1,0
100,others,มีกลิ่นแปลก ๆ,มีกลิ่นแปลก ๆ,1,1,1
101,others,ร้อนดี,ร่อนดี,1,1,0
101,others,ร้อนดี,ร้อนดี,4,1,1
102,others,น้ำซุปรสชาติเข้มข้น,รสชาติน้ำซุปเข้มข้น,1,1,0
102,others,น้ำซุปรสชาติเข้มข้น,น้ำซุปรสชาติเข้มข้น,1,1,1
103,others,แซ่ป,แซ่ป,1,1,1
103,others,แซ่ป,แซป,1,1,0
104,others,ชิ้นไก่ใหญ่,ไก่ชิ้นใหญ่,1,1,0
104,others,ชิ้นไก่ใหญ่,ชิ้นไก่ใหญ่,1,1,1
105,others,เนื้อเยอะมาก,เนื้อเยอะมาก,2,1,1
105,others,เนื้อเยอะมาก,เนื้อเยอะมาก!,1,1,0
106,others,สดจริง,สดจริง,3,1,1
106,others,สดจริง,สุดจริง,2,1,0
107,others,ไม่มีรสเปรี่ยว,ไม่มีรสเปรี่ยว,1,1,1
107,others,ไม่มีรสเปรี่ยว,ไม่มีรสเปรี้ยว,1,1,0
108,others,รสชาติบ้าน ๆ,รสชาติบ้าน ๆ,1,1,1
108,others,รสชาติบ้าน ๆ,รสชาติบ้านๆ,1,1,0
109,others,เปรี้ยวแซ่บ,แซ่บเปรี้ยว,1,1,0
109,others,เปรี้ยวแซ่บ,เปรี้ยวแซ่บ,1,1,1
110,others,มันอร่อย,มันอร่อย,2,1,1
110,others,มันอร่อย,อร่อยมัน,1,1,0
111,others,เค็มมากไป,เค็มไปมาก,1,1,0
111,others,เค็มมากไป,เค็มมากไป,1,1,1
112,others,นุ่มเหนียวอร่อย,เหนียวนุ่มอร่อย,1,1,0
112,others,นุ่มเหนียวอร่อย,นุ่มเหนียวอร่อย,1,1,1
113,others,ฉ่ำมัน,มันฉ่ำ,1,1,0
113,others,ฉ่ำมัน,ฉ่ำมัน,1,1,1
114,others,มากเกินคาด,มากเกินคาด,1,1,1
114,others,มากเกินคาด,เกินคาดมาก,1,1,0
115,others,กรอบนุ่ม,กรอบนุ่ม,1,1,1
115,others,กรอบนุ่ม,นุ่มกรอบ,1,1,0
116,others,ชอบมากกก~~~~,ชอบมากกก~~~~,1,1,1
116,others,ชอบมากกก~~~~,ชอบมากกก,1,1,0
117,others,นุ้ม,นุ้ม,1,1,1
117,others,นุ้ม,นุ่ม,1,1,0
118,others,รอ 40 นาที,รอ40นาที,1,1,0
118,others,รอ 40 นาที,รอ 40 นาที,1,1,1
119,others,taste,taste,3754,1,1
120,others,รสชาติแย่,รสชาติแย่,2,1,1
120,others,รสชาติแย่,รสชาติแท้,1,1,0
121,others,doneness,doneness,162,1,1
122,others,รสชาดโอเคค่ะ,รสชาดโอเคค่ะ,2,1,1
123,others,อร่อยสุดๆ,อร่อยสุดๆ,37,1,1
123,others,อร่อยสุดๆ,อร่อนสุดๆ,1,1,0
123,others,อร่อยสุดๆ,อร่อยสุด ๆ,3,1,0
123,others,อร่อยสุดๆ,อร่อยสุดๆๆ,2,1,0
123,others,อร่อยสุดๆ,อร่อนสุด,1,1,0
123,others,อร่อยสุดๆ,อร่อยสุดๆๆๆ,2,1,0
123,others,อร่อยสุดๆ,อร่อยสุดๆๆๆๆ,1,1,0
124,others,temperature,temperature,145,1,1
125,others,texture,texture,1213,1,1
126,others,ชิ้นบางไปนิด,ชิ้นบางไปนิด,2,1,1
127,others,ครบรสอร่อย,ครบรสอร่อย,2,1,1
128,others,แปลกดี,แปลกดี,7,1,1
128,others,แปลกดี,แปลกๆดี,1,1,0
129,others,กรอบทุกคำ,กรอบทุกคำ,2,1,1
130,others,ปริมาณน้อยมากๆๆ,ปริมาณน้อยมากๆๆ,2,1,1
131,others,อย่างละนิดเดียว,อย่างละนิดเดียว,2,1,1
132,others,รสชาดกลางๆต้องปรุงเอง,รสชาดกลางๆต้องปรุงเอง,2,1,1
133,others,โอเค,โอเค,53,1,1
134,others,รสเข้มดี,รสเข้มดี,3,1,1
135,others,รสชาติกลางๆ,รสชาติกลางๆ,71,1,1
135,others,รสชาติกลางๆ,รสชาติกลาง,1,1,0
135,others,รสชาติกลางๆ,รสชาติกลาง ๆ,5,1,0
136,others,รสชาติออกหวานนิดๆ,รสชาติออกหวานนิดๆ,2,1,1
137,others,อร่อยเลย,อร่อยเลย,4,1,1
138,others,ฟิน,ฟิน,10,1,1
138,others,ฟิน,ฟินๆ,2,1,0
138,others,ฟิน,ฟินๆๆ,1,1,0
138,others,ฟิน,ฟินนน,1,1,0
138,others,ฟิน,ฟินส์,1,1,0
139,others,ขม,ขม,16,1,1
139,others,ขม,ครีม,2,1,0
140,others,รสชาติอร่อย,รสชาติอร่อย,59,1,1
141,others,เค็มมาก,เค็มมาก,31,1,1
141,others,เค็มมาก,เค็มมากๆ,4,1,0
142,others,เจอเศษกระดูก,เจอเศษกระดูก,4,1,1
143,others,มันหมูเยอะ,มันหมูเยอะ,4,1,1
144,others,หมูรสชาติดี,หมูรสชาติดี,2,1,1
145,others,ให้หมูแดงเยอะ,ให้หมูแดงเยอะ,2,1,1
146,others,ข้าวไม่ผ่าน,ข้าวไม่ผ่าน,2,1,1
147,others,จืดมาก,ชืดมาก,2,1,0
147,others,จืดมาก,จืดมาก,8,1,1
148,others,ไม่มีกลิ่นหอมกระทะแบบข้าวผัดดีๆ,ไม่มีกลิ่นหอมกระทะแบบข้าวผัดดีๆ,2,1,1
149,others,เม็ดข้าวก็เละๆ,เม็ดข้าวก็เละๆ,2,1,1
150,others,น้ำมันเยอะไปหน่อย,ติดมันเยอะไปหน่อย,3,1,0
150,others,น้ำมันเยอะไปหน่อย,น้ำมันเยอะไปหน่อย,4,1,1
151,others,ข้าวไม่แฉะ,ข้าวไม่แฉะ,3,1,1
152,others,ไม่หวานจนเกินไป,ไม่หวานจนเกินไป,2,1,1
153,others,หมูกรอบดี,หมูกรอบดี,1,1,1
154,others,ข้าวหมูกรอบไม่ได้เรื่อง,ข้าวหมูกรอบไม่ได้เรื่อง,1,1,1
155,others,รสชาติจัดจ้าน,รสชาติจัดจ้าน,143,1,1
155,others,รสชาติจัดจ้าน,รสชาติจัดมาก,1,1,0
155,others,รสชาติจัดจ้าน,รสชาตินัวมาก,1,1,0
155,others,รสชาติจัดจ้าน,รสชาติจืดมาก,5,1,0
156,others,เย็น,เย็น,9,1,1
157,others,แข็งเกินไป,แข็งเกินไป,3,1,1
158,others,รสชาติอาหาร,รสชาติอาหาร,8,1,1
159,others,รสชาดไทยๆ,รสชาดไทยๆ,3,1,1
160,others,ทานอร่อย,ทานอร่อย,2,1,1
161,others,บริการ,บริการ,9,1,1
162,others,รสชาติ,รสชาติ,444,1,1
163,others,รสจัด,รสจัด,104,1,1
164,others,รสชาติมาตรฐาน,รสชาติมาตรฐาน,7,1,1
165,others,รสจัดมาก,รสจัดมาก,5,1,1
166,others,ไม่ถึง,ไม่ถึง,2,1,1
167,others,เหม็นคาว,เหม็นคาว,4,1,1
168,others,น้อยมาก,น้อยมาก,7,1,1
168,others,น้อยมาก,น้อยมากๆ,2,1,0
168,others,น้อยมาก,น้อยมากๆๆๆ,1,1,0
169,others,แย่มาก,แย่มาก,14,1,1
169,others,แย่มาก,แย่มากๆ,2,1,0
170,others,เสียความรู้สึก,เสียความรู้สึก,10,1,1
171,others,หอมกลิ่นกระทะ,หอมกลิ่นกระทะ,16,1,1
172,others,หมูก็ให้เยอะ,หมูก็ให้เยอะ,2,1,1
173,others,ชอบ,ชอบ,37,1,1
174,others,รสชาติดีมาก,รสชาติดีมาก,140,1,1
174,others,รสชาติดีมาก,รสชาติดีมากๆ,9,1,0
174,others,รสชาติดีมาก,รสชาติดีมากๆๆ,1,1,0
174,others,รสชาติดีมาก,รสชาติดีมากๆๆๆๆ,1,1,0
