cluster_id,canonical_restaurant,raw_restaurant_name,canonical_freq,raw_freq,location_name,proposed,accept
85,บุหลันดั้นเมฆ,บุหลันดั้นเมฆ,1,1,,1,1
86,ร้านต้นไทร ร้านอาหาร,ร้านต้นไทร ร้านอาหาร,25,25,,1,1
87,ร้านใบตองแกงป่า,ร้านใบตองแกงป่า,17,17,,1,1
88,ร้านลาบเวียงจันทน์ by กบโปงลางสะออน,ร้านลาบเวียงจันทน์ by กบโปงลางสะออน,14,14,,1,1
89,เคียงเดือน,เคียงเดือน,12,12,,1,1
90,Kenshiro Izakaya ( เคนชิโร่ อิซากายะ),Kenshiro Izakaya ( เคนชิโร่ อิซากายะ),9,9,,1,1
91,HoneyHouse Thai Cuisine ร้านอาหารไทย ฮันนี่เฮ้าส์,HoneyHouse Thai Cuisine ร้านอาหารไทย ฮันนี่เฮ้าส์,15,15,,1,1
92,Nakama izakaya,Nakama izakaya,16,16,,1,1
93,เจ๊ดาวซีฟู้ด อาหารทะเลสดอร่อยร้านแนะนำ ราคาเบาๆ,เจ๊ดาวซีฟู้ด อาหารทะเลสดอร่อยร้านแนะนำ ราคาเบาๆ,11,11,,1,1
94,Ivory Coast Almond Restaurant & Chill Bar,Ivory Coast Almond Restaurant & Chill Bar,22,22,,1,1
95,ร้านอาหารรสสุคนธ์,ร้านอาหารรสสุคนธ์,25,25,,1,1
96,คุงโภชนากรุงเทพกรีฑา22,คุงโภชนากรุงเทพกรีฑา22,18,18,,1,1
97,ร้านอีสานเดิม สุวรรณภูมิ,ร้านอีสานเดิม สุวรรณภูมิ,30,30,,1,1
98,โซแมก พญาไท,โซแมก พญาไท,3,3,,1,1
99,ร้านอาหารเจ๊จุ๋ม สาขาลูก,ร้านอาหารเจ๊จุ๋ม สาขาลูก,5,5,,1,1
100,ร้านอาหารเจ๊จุ๋ม สาขาลูก (Bang Kachao Restaurant),ร้านอาหารเจ๊จุ๋ม สาขาลูก (Bang Kachao Restaurant),1,1,,1,1
101,ก๊วยเตี๋ยวเรือ พ.พวง สาขาตลาดแสงทองพลาซ่า,ก๊วยเตี๋ยวเรือ พ.พวง สาขาตลาดแสงทองพลาซ่า,11,11,,1,1
102,โต้ง บักกุ๊ดเต๋,โต้ง บักกุ๊ดเต๋,2,2,,1,1
103,อ่างศิลาบางนา ซีฟู๊ด (ปากซอย หมู่บ้านกฤษดานคร 21),อ่างศิลาบางนา ซีฟู๊ด (ปากซอย หมู่บ้านกฤษดานคร 21),26,26,,1,1
104,ส้มตำเด็ด ร้านครกใหญ่ นวลจันทร์,ส้มตำเด็ด ร้านครกใหญ่ นวลจันทร์,19,19,,1,1
105,ร้านอาหาร ณ ชมทุ่ง ริมคลอง,ร้านอาหาร ณ ชมทุ่ง ริมคลอง,8,8,,1,1
106,ร้านอาหาร​เชน ​​(บ้านสวนพุด),ร้านอาหาร​เชน ​​(บ้านสวนพุด),8,8,,1,1
107,ไทบ้านอินดี้สาย4,ไทบ้านอินดี้สาย4,2,2,,1,1
108,Palm’s by ครัวสวนปาล์ม,Palm’s by ครัวสวนปาล์ม,17,17,,1,1
109,ครัวศรแดง,ครัวศรแดง,67,67,,1,1
110,แซ่บสะแแด่ว,แซ่บสะแแด่ว,14,14,,1,1
110,แซ่บสะแแด่ว,แซ่บสะแด่ว,14,6,,1,0
111,ร้านอาหาร ตี้ โซ คูล Tee So Cool Meeting & Restaurant,ร้านอาหาร ตี้ โซ คูล Tee So Cool Meeting & Restaurant,14,14,,1,1
112,ครบรส ลาดปลาดุก,ครบรส ลาดปลาดุก,25,25,,1,1
113,ร้านโพธิ์ทะเล,ร้านโพธิ์ทะเล,27,27,,1,1
114,ครัวคุณเรศ,ครัวคุณเรศ,15,15,,1,1
115,ครัวมุมสวน,ครัวมุมสวน,3,3,,1,1
116,เลอ เบียง,เลอ เบียง,28,28,,1,1
117,Madame Chill Cafe & Bistro,Madame Chill Cafe & Bistro,2,2,,1,1
118,Suki​camp​ safari,Suki​camp​ safari,9,9,,1,1
119,ครัว 152,ครัว 152,12,12,,1,1
120,อาเปาคิตช์,อาเปาคิตช์,11,11,,1,1
121,ร้านข้าวต้มครัวเจ้านาย,ร้านข้าวต้มครัวเจ้านาย,6,6,,1,1
122,เคี้ยงเยาวราช บางบัวทอง,เคี้ยงเยาวราช บางบัวทอง,10,10,,1,1
123,ร้านละอองน้ำ,ร้านละอองน้ำ,1,1,,1,1
124,ต๊ะต่อนยอน อาหารเหนือ (นวลจันทร์),ต๊ะต่อนยอน อาหารเหนือ (นวลจันทร์),15,15,,1,1
125,เมืองลุง หรอยแรง,เมืองลุง หรอยแรง,8,8,,1,1
126,สะดวกยำ @พันท้าย สมุทรสาคร,สะดวกยำ @พันท้าย สมุทรสาคร,3,3,,1,1
127,korean Kitchen ปิ้งย่างเกาหลี,korean Kitchen ปิ้งย่างเกาหลี,23,23,,1,1
128,อิจโจ่เกี๊ยวซ่า (ITCHOGYOZA),อิจโจ่เกี๊ยวซ่า (ITCHOGYOZA),5,5,,1,1
129,อิจโจ่เกี๊ยวซ่า,อิจโจ่เกี๊ยวซ่า,1,1,,1,1
130,ร้าน ลึกหน่อย อร่อยแน่,ร้าน ลึกหน่อย อร่อยแน่,14,14,,1,1
131,ครัวเมืองชุมแพ,ครัวเมืองชุมแพ,30,30,,1,1
132,อาอ้วน สเต็ก&ไทยฟู้ด,อาอ้วน สเต็ก&ไทยฟู้ด,17,17,,1,1
133,ร้านปรุงสารพัด สำนักพระราชวัง,ร้านปรุงสารพัด สำนักพระราชวัง,29,29,,1,1
134,ครัวกระแต,ครัวกระแต,47,47,,1,1
135,ลาบยโส เจ๊ขาวคลอง4,ลาบยโส เจ๊ขาวคลอง4,16,16,,1,1
136,กะเพรากลางสวน(กะเพราบ้านสวน),กะเพรากลางสวน(กะเพราบ้านสวน),6,6,,1,1
137,ร้านตำตำ บายตาต้า ธิดาครกทอง,ร้านตำตำ บายตาต้า ธิดาครกทอง,3,3,,1,1
138,มาชิตะGrill กาญจนาภิเษก,มาชิตะGrill กาญจนาภิเษก,25,25,,1,1
139,Fah Mai cafe’ and Bistro,Fah Mai cafe’ and Bistro,19,19,,1,1
140,หล่อเลี้ยงฟาร์ม Cafe&Cuisine,หล่อเลี้ยงฟาร์ม Cafe&Cuisine,7,7,,1,1
141,ห้องอาหารเก็จแก้ว,ห้องอาหารเก็จแก้ว,9,9,,1,1
142,ฝากมารุม สาขา 5 พุทธมณฑลสาย 4,ฝากมารุม สาขา 5 พุทธมณฑลสาย 4,3,3,,1,1
143,แคทส้มตำ จิ้มจุ่ม อาหารอีสาน บางใหญ่ สาขา 1,แคทส้มตำ จิ้มจุ่ม อาหารอีสาน บางใหญ่ สาขา 1,26,26,,1,1
144,Wine Port & clubhouse,Wine Port & clubhouse,9,9,,1,1
145,เชจู สเตชั่น JEJU Station,เชจู สเตชั่น JEJU Station,4,4,,1,1
146,Bungalow River,Bungalow River,2,2,,1,1
147,ร้าน เสบียง กุ้งเผา (คลองโยง) { ปิดทุกวันพระ },ร้าน เสบียง กุ้งเผา (คลองโยง) { ปิดทุกวันพระ },48,48,,1,1
148,ร้าน เสบียง กุ้งเผา (คลองโยง),ร้าน เสบียง กุ้งเผา (คลองโยง),1,1,,1,1
149,ร้าน อาหารบ้านแม่,ร้าน อาหารบ้านแม่,1,1,,1,1
150,ร้านอาหารครัวบ้านใหม่,ร้านอาหารครัวบ้านใหม่,7,7,,1,1
151,ลายยโส บางนา-ตราด กม.27,ลายยโส บางนา-ตราด กม.27,2,2,,1,1
152,บ้านระเบียงบึง Restaurant,บ้านระเบียงบึง Restaurant,19,19,,1,1
153,ครัวบ้านไทร,ครัวบ้านไทร,14,14,,1,1
154,ข้าวแกงแม่เล็ก,ข้าวแกงแม่เล็ก,6,6,,1,1
155,ครัวริมทะเล,ครัวริมทะเล,17,17,,1,1
156,สเต๊กตัวน้ำ โดย ป้าแก้ว คลองหลอด,สเต๊กตัวน้ำ โดย ป้าแก้ว คลองหลอด,7,7,,1,1
157,ครัวคุณอิ้น รัชดา32,ครัวคุณอิ้น รัชดา32,29,29,,1,1
158,The LOFT Eatery&Bar,The LOFT Eatery&Bar,6,6,,1,1
159,ร้านอาหารข้าวสุข By flower cafe,ร้านอาหารข้าวสุข By flower cafe,10,10,,1,1
160,เตียกุ่ยฮวดก๋วยเตี๋ยวเป็ด บางนาตราด กม.19,เตียกุ่ยฮวดก๋วยเตี๋ยวเป็ด บางนาตราด กม.19,44,44,,1,1
161,เตียกุ่ยฮวดก๋วยเตี๋ยวเป็ด บางนาตราด กม.19 (Tiaguihuad restaurant),เตียกุ่ยฮวดก๋วยเตี๋ยวเป็ด บางนาตราด กม.19 (Tiaguihuad restaurant),6,6,,1,1
162,Nanoni Italian Fusion,Nanoni Italian Fusion,2,2,,1,1
163,สิริ ริว่า,สิริ ริว่า,9,9,,1,1
164,ปลายนา คาเฟ่ ไทรน้อย,ปลายนา คาเฟ่ ไทรน้อย,3,3,,1,1
165,ศาลาสุขใจ,ศาลาสุขใจ,11,11,,1,1
166,ร้านรถเสบียง,ร้านรถเสบียง,21,21,,1,1
167,Hops and Hope craft bar,Hops and Hope craft bar,12,12,,1,1
168,YONAKA IZAKAYA  ร้านอาหารญี่ปุ่น อิซากายะ ลาดพร้าว,YONAKA IZAKAYA  ร้านอาหารญี่ปุ่น อิซากายะ ลาดพร้าว,19,19,,1,1
169,ละอ่อนน้ำเงี้ยวอาหารเหนือ,ละอ่อนน้ำเงี้ยวอาหารเหนือ,38,38,,1,1
170,ห้องอาหารมาลัย,ห้องอาหารมาลัย,45,45,,1,1
171,สวนอาหารซุ้มไผ่ เรโทร บางแวก 83,สวนอาหารซุ้มไผ่ เรโทร บางแวก 83,35,35,,1,1
172,ข้าวต้มอันดา ตลาดเรือบิน เด็ดสุดในย่านนี้,ข้าวต้มอันดา ตลาดเรือบิน เด็ดสุดในย่านนี้,1,1,,1,1
173,ครัวริมคลอง,ครัวริมคลอง,7,7,,1,1
174,ครัวป้าสวน ชวนแซ่บ อร่อยในตำนาน,ครัวป้าสวน ชวนแซ่บ อร่อยในตำนาน,19,19,,1,1
175,เดอะบริค ท่าอิฐ The Brick Tha-it,เดอะบริค ท่าอิฐ The Brick Tha-it,11,11,,1,1
176,ง. ง้วน ครัวบ้านริมน้ำ,ง. ง้วน ครัวบ้านริมน้ำ,45,45,,1,1
177,ครัวมุกดาหาร,ครัวมุกดาหาร,8,8,,1,1
178,ทิพวรรณ ร้านอาหารเวียดนาม สาขาบางเขน,ทิพวรรณ ร้านอาหารเวียดนาม สาขาบางเขน,8,8,,1,1
179,ร้านป้าอู๊ด,ร้านป้าอู๊ด,6,6,,1,1
180,Eat Around Kitchen (อาหารไทย/ยุโรป/อีสาน ฟิวชั่น),Eat Around Kitchen (อาหารไทย/ยุโรป/อีสาน ฟิวชั่น),18,18,,1,1
181,ร้านตำอินดี้,ร้านตำอินดี้,21,21,,1,1
182,ข้าวแกงป้าทิน,ข้าวแกงป้าทิน,12,12,,1,1
183,โตเกียวชิ อิซากายะ (Tokyoshi Izakaya),โตเกียวชิ อิซากายะ (Tokyoshi Izakaya),1,1,,1,1
184,สะไบมอญ,สะไบมอญ,5,5,,1,1
185,สเต็กบางพลู@Little Cafe'บางบัวทอง,สเต็กบางพลู@Little Cafe'บางบัวทอง,4,4,,1,1
186,ร้านอาหารจีน ญ Chay พุทธมณฑลสาย 1,ร้านอาหารจีน ญ Chay พุทธมณฑลสาย 1,10,10,,1,1
187,เฮือนของพ่อ My Daddy's Home,เฮือนของพ่อ My Daddy's Home,19,19,,1,1
188,นิยมแซ่บ ณ ศาลายา,นิยมแซ่บ ณ ศาลายา,19,19,,1,1
